Region,Segment,Year,Market,EV,ICE,NGV,EV_Share,ICE_Share,NGV_Share
China,MCV,2038,228033.0,111871.2146809648,116079.35760819956,82.42771083564672,0.49059221551689797,0.5090463117539986,0.00036147272910344873
China,MCV,2039,231790.0,124100.85013248122,107614.50523788067,74.6446296381108,0.5354020886685414,0.46427587574045764,0.0003220355910009526
China,MCV,2040,235547.0,136081.57970696612,99465.42029303388,0.0,0.5777258029478878,0.4222741970521122,0.0
China,HCV,2019,1431328.0,24846.633765843377,1322124.3662341565,84357.0,0.01735914742521866,0.9237046758214446,0.05893617675333676
China,HCV,2020,1323562.0,27373.818570257266,1218182.497453743,78005.68397599991,0.02068193146241526,0.920381891784248,0.05893617675333676
China,HCV,2021,1215796.0,29932.131701117363,1114209.5003468827,71654.36795199983,0.02461937010906218,0.916444453137601,0.05893617675333677
China,HCV,2022,1108030.0,32439.05164564096,1010287.8964263593,65303.05192799973,0.029276329743455468,0.9117874935032078,0.05893617675333676
China,HCV,2023,1000264.0,34781.144912842894,906531.1191831575,58951.735903999645,0.03477196511405278,0.9062918581326105,0.05893617675333676
China,HCV,2024,892498.0,36806.786542853224,803090.7935771472,52600.41987999955,0.041240189381772534,0.8998236338648906,0.05893617675333676
China,HCV,2025,953521.6499999999,46559.964136338516,850764.765361128,56196.92050253331,0.04882947769076719,0.892234345555896,0.05893617675333676
China,HCV,2026,905845.5675,52268.82332616081,800189.6696964325,53387.07447740665,0.057701693535262354,0.8833621297114008,0.05893617675333676
China,HCV,2027,860553.2891249999,58543.066597976685,751292.5017734868,50717.720753536305,0.06802956578958935,0.8730342574570739,0.05893617675333676
China,HCV,2028,817525.6246687499,65395.83887586126,703947.9510770291,48181.83471585949,0.07999240256519023,0.861071420681473,0.05893617675333676
China,HCV,2029,776649.3434353124,72826.12131791035,658050.4791373354,45772.74298006651,0.09376962967068558,0.8472941935759776,0.058936176753336754
China,HCV,2030,737816.8762635466,80814.42377092557,613518.3466615578,43484.105831063185,0.10953181794944308,0.83153200529722,0.05893617675333676
China,HCV,2031,700926.0324503692,89318.33926883685,574804.755744378,36802.93743715438,0.12742905118902292,0.8200647844893368,0.05250616432164018
China,HCV,2032,665879.7308278508,98268.41065759848,536463.0148730202,31148.305297231953,0.14757681621488447,0.8056455092965001,0.046777674488615265
China,HCV,2033,632585.7442864582,107564.9309363766,498658.32735161117,26362.485998470493,0.17004008058655715,0.7882857491739494,0.04167417023949339
China,HCV,2034,600956.4570721353,117076.43248349002,461568.03485476674,22311.989733878505,0.19481683091298718,0.7680557042410858,0.03712746484592694
China,HCV,2035,570908.6342185284,126640.65678857428,425384.14052953507,18883.83690041913,0.22182298392092573,0.7451002052400376,0.033076810839036824
China,HCV,2036,542363.202507602,136068.67187235644,390312.1238514987,15982.406783746907,0.2508810908322071,0.7196508207911245,0.02946808837666838
China,HCV,2037,515245.04238222196,145152.4746514008,356565.7973002055,13526.770430615705,0.2817154222004585,0.6920314956387215,0.026253082160820094
China,HCV,2038,489482.7902631109,153675.88538836464,324358.47155939275,11448.433315353468,0.31395564552077404,0.6626555172349182,0.02338883724430763
China,HCV,2039,465008.65074995527,161427.89063349698,293891.3352793629,9689.42483709538,0.347150295748584,0.6320126191316693,0.02083708511974669
China,HCV,2040,441758.21821245743,168216.97319724585,273541.2450152116,0.0,0.38078968599140867,0.6192103140085914,0.0
China,Total_CV,2019,4181419.125,94779.79442992517,4002122.171724139,84517.15884593566,0.022666896476187415,0.9571205497664955,0.02021255375731694
China,Total_CV,2020,4130301.875,120510.4086455753,3931621.782378425,78169.68397599991,0.029177143049762023,0.9518969560495926,0.018925900900645408
